Cm,Ch,Bm,Bh,T,R,G,B
0,0.026,0,0,0.106,153.99,139.73,137.34
0,0.026,0,0,0.154,156.22,143.07,144.09
0,0.026,0,0,0.202,160.56,147.46,148.07
0,0.026,0,0,0.25,161.51,150.04,152.08
0,0.026,0,0.2,0.01,142.02,124.19,110.89
0,0.026,0,0.2,0.058,148.66,135.98,128.17
0,0.026,0,0.2,0.106,149.97,140.33,137.09
0,0.026,0,0.2,0.154,153.68,141.81,146
0,0.026,0,0.2,0.202,158.58,147.05,150.12
0,0.026,0,0.2,0.25,159.98,150.74,154.53
0,0.026,0,0.4,0.01,143.88,124.76,112.17
0,0.026,0,0.4,0.058,148.94,135.33,128.93
0,0.026,0,0.4,0.106,153.6,140.52,138.16
0,0.026,0,0.4,0.154,157.33,142.75,146.29
0,0.026,0,0.4,0.202,158.02,146.21,150.19
0,0.026,0,0.4,0.25,159.91,148.67,151.94
0,0.026,0,0.6,0.01,144.16,121.38,111.38
0,0.026,0,0.6,0.058,148.18,131.73,127.66
0,0.026,0,0.6,0.106,152.49,137,136.65
0,0.026,0,0.6,0.154,155.4,140.23,142.75
0,0.026,0,0.6,0.202,159.11,143.62,150.16
0,0.026,0,0.6,0.25,158.87,145.63,152.05
0,0.026,0,0.8,0.01,141.24,121.71,112.36
0,0.026,0,0.8,0.058,149.66,130.76,129.64
0,0.026,0,0.8,0.106,154.09,138.08,138.27
0,0.026,0,0.8,0.154,154.64,141.86,146.7
0,0.026,0,0.8,0.202,158.47,143.77,150.25
0,0.026,0,0.8,0.25,160.59,146.96,152.95
0,0.026,0,1,0.01,139.33,120.38,114.46
0,0.026,0,1,0.058,146.64,130.14,130.65
0,0.026,0,1,0.106,152.95,137.6,139.64
0,0.026,0,1,0.154,155.79,141.18,146.63
0,0.026,0,1,0.202,160.16,145.31,150.12
0,0.026,0,1,0.25,160.25,149.21,150.74
0,0.026,0.2,0,0.01,144.74,122.11,108.1
0,0.026,0.2,0,0.058,152.43,130.22,124.61
0,0.026,0.2,0,0.106,155.54,137.57,134.31
0,0.026,0.2,0,0.154,156.48,141.75,140.53
0,0.026,0.2,0,0.202,158.77,145.68,147.66
